DESCRIPTION,Candida_tanzawaensis,Debaryomyces_hansenii,Hyphopichia_burtonii,Komagataella_pastoris,Eremothecium_gossypii,Kluyveromyces_lactis,Torulaspora_delbrueckii,Zygosaccharomyces_rouxii,Arxula_adeninivorans,Yarrowia_lipolytica
fam2,21,21,20,21,19,20,19,20,27,25
fam3,22,22,23,22,22,22,22,22,22,23
fam4,20,22,21,22,16,20,22,21,26,24
fam6,20,17,19,17,18,17,17,17,20,18
fam8,11,10,11,12,10,10,11,11,12,13
fam13,8,11,10,8,5,9,8,7,15,12
fam14,10,10,10,4,3,6,6,6,8,13
fam15,8,8,9,8,8,8,8,8,8,8
fam16,7,8,5,7,8,7,8,8,9,8
fam17,6,8,9,6,5,7,7,7,8,4
fam18,7,7,7,7,7,7,7,7,5,9
fam19,7,7,7,7,7,7,7,7,7,7
fam20,7,7,7,7,7,7,7,7,7,7
fam21,7,7,11,5,3,4,4,3,4,10
fam22,6,7,7,7,8,7,7,7,7,7
fam23,7,7,7,7,6,6,6,6,7,7
fam24,7,6,7,7,8,7,5,7,7,7
fam25,6,7,6,5,5,5,5,5,9,8
fam27,1,8,4,4,4,4,3,8,6,5
fam28,8,6,8,2,3,6,4,5,10,9
fam29,4,5,5,5,3,5,4,3,7,13
fam31,4,7,11,2,3,3,5,3,2,9
fam32,0,0,0,0,0,0,0,0,0,0
fam33,4,4,5,4,6,6,5,5,4,4
fam34,5,5,5,4,3,4,4,4,4,5
fam35,5,5,6,3,4,5,4,4,4,4
fam36,4,5,4,1,3,3,2,2,8,8
fam38,1,1,2,3,3,3,4,5,2,2
fam39,5,4,4,4,4,4,4,4,4,4
fam40,5,5,4,4,4,4,6,5,4,4
fam41,3,6,3,5,2,4,3,3,5,6
fam42,6,5,6,3,3,3,2,3,1,1
fam43,4,5,9,2,1,2,2,1,2,6
fam44,4,4,4,4,4,4,4,4,4,4
fam45,2,9,4,2,1,5,2,1,7,1
fam46,3,4,6,1,3,4,3,4,6,5
fam47,4,3,3,3,3,4,2,3,5,10
fam48,4,4,4,4,3,3,3,3,4,4
fam49,1,3,5,1,0,2,4,1,6,5
fam50,4,4,4,4,4,4,4,4,4,4
fam51,2,7,5,2,1,1,2,6,8,6
fam52,4,5,3,4,3,3,3,4,4,4
fam53,3,3,3,3,3,3,3,3,3,5
fam54,4,4,4,3,3,3,3,3,3,3
fam56,4,5,2,5,5,5,5,5,6,6
fam57,3,3,3,4,3,3,3,3,4,4
fam58,5,4,6,2,1,2,3,2,2,6
fam59,3,3,3,3,4,2,4,4,3,6
fam60,4,6,5,2,3,4,3,3,2,2
fam61,4,4,4,3,2,2,2,2,3,3
fam62,4,4,3,3,4,3,5,3,3,2
fam63,3,3,3,4,3,3,3,3,3,3
fam64,3,3,2,2,2,3,3,3,2,3
fam65,2,4,4,2,2,3,4,6,2,2
fam66,3,3,3,2,3,3,4,4,4,3
fam67,3,3,3,3,3,3,3,3,3,4
fam68,3,3,3,3,3,3,3,3,3,3
fam69,4,6,6,6,2,3,3,3,1,2
fam70,4,4,4,2,3,3,3,3,3,2
fam71,3,3,4,3,2,3,2,2,2,6
fam72,6,4,5,1,0,2,1,0,4,3
fam73,3,3,3,3,3,3,3,3,3,4
fam74,2,2,2,0,1,1,1,1,6,2
fam75,3,3,3,3,3,3,3,3,3,3
fam76,3,3,4,2,1,2,2,2,2,2
fam77,3,3,3,3,3,3,3,3,4,3
fam78,2,2,2,2,3,3,3,3,2,4
fam79,2,2,3,2,3,3,3,3,0,2
fam82,2,2,2,3,2,2,2,2,6,4
fam83,3,3,3,3,3,3,3,3,2,2
fam84,3,3,3,3,3,3,3,3,3,3
fam85,3,3,3,3,3,3,3,3,3,3
fam86,3,3,3,3,3,3,3,3,3,3
fam87,3,3,3,3,3,3,3,3,3,2
fam88,3,3,3,3,3,3,3,3,3,3
fam89,3,2,2,4,2,2,2,2,3,3
fam90,4,4,4,3,3,2,2,2,3,3
fam91,3,3,3,1,0,2,2,3,2,6
fam92,3,3,3,2,1,3,2,2,3,4
fam93,1,2,2,1,0,1,2,4,9,2
fam94,4,3,4,2,2,3,3,2,4,3
fam96,3,3,3,2,2,2,2,2,3,3
fam97,3,3,5,1,0,5,2,0,6,1
fam98,2,2,3,3,3,3,2,2,2,2
fam99,4,3,2,2,0,3,2,3,4,4
fam100,4,5,4,2,3,3,2,2,1,2
fam101,2,4,2,2,2,2,2,2,5,3
fam102,2,3,2,2,3,3,4,3,3,3
fam103,4,3,6,4,2,3,2,2,2,5
fam104,2,2,2,2,2,3,2,2,1,1
fam105,3,3,3,3,3,3,2,3,2,2
fam106,3,3,3,2,3,3,3,3,2,2
fam107,2,2,4,2,5,2,2,2,4,5
fam108,3,3,3,3,2,2,2,2,3,3
fam109,2,3,3,4,2,2,1,2,4,4
fam110,4,7,5,3,1,2,1,2,1,5
fam111,3,3,3,3,2,2,2,2,3,3
fam112,4,2,3,2,2,2,2,2,3,3
fam113,2,1,3,3,2,3,2,2,2,2
fam114,2,3,4,4,1,3,2,1,1,4
fam115,2,3,3,2,3,3,3,3,2,2
fam116,3,3,3,3,2,2,2,2,2,2
fam117,3,3,3,2,3,3,3,3,2,2
fam118,5,4,4,3,1,1,1,1,2,3
fam121,3,3,3,1,3,4,1,2,2,2
fam122,2,4,1,3,0,1,2,1,0,0
fam123,3,3,4,3,3,3,2,2,2,2
fam124,3,2,4,1,2,2,3,2,2,2
fam125,2,2,2,2,2,2,2,2,2,4
fam126,3,3,3,3,2,1,1,1,4,3
fam127,2,2,4,2,2,2,2,1,2,4
fam128,3,3,3,2,1,2,2,2,4,3
fam129,3,4,3,3,4,2,2,2,2,3
fam130,0,2,9,0,0,0,0,0,1,0
fam131,3,3,3,3,3,2,2,2,2,2
fam132,2,3,3,1,0,2,3,2,4,2
fam133,3,4,3,2,2,2,2,2,2,2
fam134,3,4,3,3,2,2,2,2,2,2
fam135,1,3,2,2,1,3,2,3,3,1
fam136,2,2,3,1,1,3,1,2,2,1
fam137,3,3,3,2,2,2,2,2,1,1
fam138,4,1,4,0,0,1,0,1,1,4
fam140,2,2,2,0,2,1,2,1,3,3
fam141,2,2,2,3,2,2,2,2,2,1
fam142,2,3,3,2,1,1,1,2,4,4
fam143,3,3,8,0,0,0,0,0,0,0
fam144,3,3,4,2,2,2,1,1,1,2
fam145,2,2,2,2,2,2,2,2,2,2
fam146,3,2,2,2,2,2,2,2,2,1
fam147,2,3,2,2,2,1,1,1,3,3
