GENE_FAMILY,Cpapaya,Tcacao,Cclementina,Csinensis,Rcommunis,Ppersica,Fvesca,Vvinifera
75151880,0,0,1,1,1,0,0,1
75151990,1,1,0,0,1,0,0,1
75151995,1,0,1,0,0,1,0,1
75152016,0,0,1,1,0,1,1,0
75152046,0,0,1,1,0,1,0,1
75152047,0,0,1,1,1,0,0,1
75152050,0,0,1,1,1,0,0,1
75152106,1,0,0,0,0,1,1,1
75152120,0,1,1,0,1,0,0,1
75152163,0,0,1,1,0,1,0,1
75152216,1,0,0,0,0,1,1,1
75152232,1,0,0,0,1,1,1,0
75152233,1,1,1,0,1,0,0,0
75152240,0,1,1,0,1,1,0,0
75152276,0,0,1,1,0,1,1,0
75152322,0,0,1,0,0,1,1,1
75152326,0,1,0,0,1,1,1,0
75152332,0,0,1,1,0,1,1,0
75152349,0,1,1,1,0,0,0,1
75152364,0,0,1,1,0,1,0,1
75152366,0,0,1,1,1,1,0,0
75152371,0,0,1,1,0,1,0,1
75152378,0,0,0,0,1,1,1,1
75152383,0,0,1,1,0,1,0,1
75152429,0,0,1,0,1,1,1,0
75152430,0,0,1,1,0,1,1,0
75152438,0,0,1,0,1,1,1,0
75152441,1,0,1,1,0,0,0,1
75152480,0,0,0,0,1,1,1,1
75152487,0,0,1,1,1,0,0,1
75152500,0,0,0,0,2,1,1,1
75152501,0,0,1,1,1,0,0,1
75152502,0,0,0,0,1,1,1,1
75152532,1,1,0,0,0,1,1,0
75152536,1,1,0,0,0,1,1,0
75152540,0,0,0,0,1,1,1,1
75152543,0,0,1,1,1,1,0,0
75152545,0,1,1,1,0,1,0,0
75152565,0,0,1,0,0,1,1,1
75152567,0,0,1,1,0,1,1,0
75152568,0,0,1,1,1,0,0,1
75152581,0,0,1,1,0,1,0,1
75152591,0,0,1,1,0,1,1,0
75152603,0,0,1,0,1,1,0,1
75152613,2,0,1,0,1,0,1,0
75152618,1,0,0,0,0,1,1,1
75152631,1,0,0,0,0,1,1,1
75152634,0,0,0,0,1,1,1,1
75152642,1,0,1,1,0,0,0,1
75152647,0,1,1,0,0,1,0,2
75152665,0,0,1,1,1,1,0,0
75152666,0,0,1,1,0,0,1,1
75152672,0,0,1,1,0,0,1,2
75152673,1,1,0,0,1,1,0,0
75152683,0,0,1,1,1,0,0,1
75152730,0,0,1,1,1,1,0,0
75152737,0,0,1,1,0,1,0,1
75152757,0,1,1,1,0,0,0,1
75152758,0,0,0,0,1,1,1,1
75152762,0,1,0,0,1,1,0,1
75152796,0,0,1,1,0,1,1,0
75152808,1,0,1,0,0,1,0,1
75152815,1,1,0,0,0,1,1,0
75152850,0,0,1,0,1,1,0,1
75152851,0,0,1,0,1,1,0,1
75152852,0,0,1,1,0,1,1,0
75152866,0,0,1,1,1,1,0,0
75152868,1,1,0,0,0,1,1,0
75152874,0,0,1,0,1,1,0,1
75152876,1,1,0,0,1,0,0,1
75152882,0,0,0,0,1,1,1,1
75152939,0,0,0,0,1,1,1,1
75152942,0,0,1,1,0,1,1,0
75152944,0,0,1,1,1,0,1,0
75152947,0,0,1,0,1,1,1,0
75152954,0,0,1,0,1,1,1,0
75152960,0,0,1,1,1,0,1,0
75152961,0,1,1,0,0,1,0,1
75152964,0,0,1,1,0,1,0,1
75152987,1,1,0,0,0,1,1,0
75152994,1,0,1,0,1,1,0,0
75152995,1,1,0,0,0,1,0,1
75153007,0,0,1,1,1,1,0,0
75153032,0,1,1,1,1,0,0,0
75153048,0,0,2,1,0,1,0,1
75153049,0,1,1,1,1,0,0,0
75153055,0,0,0,0,1,1,1,1
75153094,0,0,1,1,1,1,0,0
75153125,0,1,1,1,1,0,0,0
75153129,0,0,1,1,0,1,1,0
75153130,0,1,1,1,1,0,0,0
75153134,0,1,1,1,0,0,0,1
75153135,1,0,0,0,0,1,1,1
75153140,1,1,0,0,0,1,1,0
75153143,1,1,0,0,1,0,1,0
75153145,0,0,1,1,0,1,0,1
75153149,0,1,1,0,0,1,1,0
75153153,0,0,2,1,0,1,1,0
75153161,0,0,1,0,0,1,1,1
75153216,0,1,1,0,0,1,0,1
75153233,1,0,0,0,1,1,1,0
75153249,0,0,1,1,1,0,1,0
75153256,0,1,1,1,0,1,0,0
75153272,0,0,0,0,1,1,1,1
75153273,0,1,0,0,1,1,0,1
75153278,0,0,1,1,0,1,0,1
75153293,0,0,1,1,0,1,1,0
75153337,0,1,1,1,0,1,0,0
75153338,0,0,0,0,1,1,1,1
75153343,0,0,1,1,0,1,1,0
75153371,0,0,1,1,1,0,0,1
75153389,0,1,1,1,1,0,0,0
75153421,1,0,1,1,0,1,0,0
75153432,1,0,0,0,1,1,1,0
75153437,0,0,1,0,1,1,0,1
75153443,0,0,1,1,1,1,0,0
75153450,1,1,0,0,1,0,0,1
75153460,1,0,1,0,0,1,0,1
75153465,2,0,1,1,0,1,0,0
75153477,1,1,0,0,0,1,1,0
75153481,0,1,0,0,0,1,1,1
75153514,0,0,1,0,1,1,1,0
75153532,0,1,0,0,1,1,0,1
75153541,1,0,0,0,1,1,1,0
75153545,0,0,1,1,0,1,0,1
75153549,0,0,1,0,0,1,1,1
75153550,0,1,1,1,0,1,0,0
75153561,0,0,1,0,1,1,0,1
75153619,1,1,0,0,0,1,1,0
75153645,1,1,0,0,0,1,0,1
75153651,0,1,1,0,0,1,0,1
75153653,0,1,1,0,1,1,0,0
75153660,0,0,1,0,1,1,1,0
75153665,1,0,0,0,0,1,1,1
75153670,0,0,1,1,1,1,0,0
75153673,0,1,0,0,0,1,1,1
75153686,0,1,0,0,0,1,1,1
75153689,0,0,1,1,1,1,0,0
75153695,0,1,0,0,1,1,0,1
75153731,1,1,0,0,1,1,0,0
75153735,0,1,1,1,0,1,0,0
75153736,0,1,0,0,1,1,0,1
75153744,1,1,0,0,0,1,1,0
75153768,0,0,0,0,1,1,1,1
75153778,0,1,1,0,0,1,1,0
75153785,0,0,1,1,0,1,1,0
75153822,0,0,1,0,0,1,1,1
75153863,0,1,0,0,1,1,0,1
75153867,0,1,0,0,1,1,0,1
75153872,0,1,0,0,0,1,1,1
75153873,0,1,1,1,0,1,0,0
75153877,0,0,1,1,0,1,1,0
75153882,1,0,0,0,0,1,1,1
75153899,1,0,1,0,0,1,0,1
75153906,0,1,0,0,0,1,1,1
75153921,1,1,0,0,1,1,0,0
75153924,0,1,1,0,0,0,1,1
75153929,0,0,0,0,1,1,1,1
75153945,1,0,0,0,0,2,1,3
75153984,1,1,0,0,0,1,0,1
75154033,0,0,1,1,1,0,0,1
75154050,1,1,1,1,0,0,0,0
75154055,0,0,1,0,1,3,0,1
75154070,0,0,1,1,0,1,0,1
75154074,0,0,1,1,1,1,0,0
75154115,0,1,1,1,1,0,0,0
75154120,1,1,0,0,1,1,0,0
75154154,0,0,1,1,1,1,0,0
75154239,0,1,0,0,1,1,1,0
75154250,0,0,1,0,1,1,0,1
75154255,2,0,0,0,0,3,1,2
75154261,0,1,0,0,1,1,1,0
75154280,0,1,1,0,1,1,0,0
75154287,0,1,0,0,1,1,0,1
75154310,0,1,0,0,1,1,0,1
75154315,1,0,0,0,1,1,1,0
75154366,0,1,0,0,0,1,1,1
75154375,0,1,1,0,0,1,0,1
75154386,0,1,1,0,0,1,0,1
75154391,0,1,1,1,0,1,0,0
75154393,0,1,1,1,0,0,0,1
75154407,1,0,0,0,1,1,1,0
75154508,0,0,1,1,0,1,0,1
75154524,0,0,1,0,1,1,1,0
75154534,0,0,1,1,0,1,0,1
75154539,0,1,0,0,1,1,1,0
75154547,0,0,0,0,1,1,1,1
75154579,0,1,0,0,0,1,1,1
75154583,1,1,0,0,0,1,0,1
75154588,1,1,0,0,0,1,0,1
75154610,1,1,0,0,0,1,0,1
75154627,0,1,1,0,0,1,0,2
75154634,0,1,1,0,0,1,0,1
75154656,0,1,1,1,1,0,0,0
75154668,0,0,1,1,0,1,1,0
75154776,0,0,2,0,2,2,2,0
75154791,0,0,1,0,0,1,1,1
75154792,0,0,1,2,0,1,1,0
75154797,0,0,1,1,1,2,0,0
75154929,0,1,0,0,0,1,1,1
75154937,0,1,0,0,0,1,1,1
75154945,1,1,1,1,0,0,0,0
75154951,0,1,1,0,0,1,0,1
75154995,0,1,1,0,0,1,0,1
75155042,1,1,0,0,0,1,1,0
75155045,0,0,0,0,1,1,1,1
75155048,0,1,0,0,1,1,1,0
75155068,0,0,1,1,0,0,1,1
75155177,0,1,0,0,0,1,1,1
75155193,1,1,0,0,0,1,0,1
75155249,0,0,1,1,0,1,0,1
75155273,0,1,0,0,0,1,1,1
75155331,0,1,0,0,0,1,1,1
75155367,0,0,1,1,0,1,1,0
75155375,0,0,1,1,1,1,0,0
75155383,0,0,1,1,1,0,0,1
75155447,0,0,1,1,0,1,0,1
75155484,1,1,0,0,0,1,0,1
75155518,0,1,0,0,0,1,1,1
75155522,1,0,1,1,0,0,1,0
75155562,1,1,0,0,0,1,1,0
75155684,1,0,1,1,0,0,0,1
75155693,0,1,0,0,1,1,1,0
75155883,0,1,0,0,1,1,1,0
75156465,0,1,1,0,0,1,0,1
75156523,0,1,0,0,1,1,0,1
75156557,0,0,0,0,1,1,1,1
75156605,1,0,0,0,0,1,1,1
