GENE_FAMILY,Athaliana,Crubella,Boleracea,Graimondii,Mesculenta,Mdomestica,Pvulgaris,Mtruncatula
75151945,0,0,0,0,1,1,1,1
75152007,0,0,0,0,1,1,1,1
75152008,0,0,0,0,1,1,1,1
75152064,0,0,0,0,1,1,1,1
75152093,0,0,0,0,1,1,1,1
75152094,1,1,0,1,1,0,0,0
75152108,0,0,0,0,1,1,1,1
75152121,0,0,0,0,1,1,1,1
75152129,1,1,0,0,0,0,1,1
75152160,1,0,0,0,1,0,1,1
75152225,0,0,0,0,1,1,1,1
75152232,0,0,1,0,1,0,1,1
75152233,0,0,0,1,1,0,1,1
75152235,0,0,0,0,1,1,1,1
75152238,0,0,0,0,1,1,1,1
75152239,0,0,0,0,1,1,1,1
75152285,0,0,0,0,1,1,1,1
75152320,1,1,1,1,0,0,0,0
75152323,0,0,0,0,1,1,1,1
75152335,0,0,0,0,1,1,1,1
75152346,1,0,1,0,1,1,0,0
75152367,0,0,0,1,1,0,1,1
75152388,0,0,0,0,1,1,1,1
75152392,1,1,0,0,1,1,0,0
75152434,0,0,0,0,1,1,1,1
75152436,0,0,0,0,1,1,1,1
75152438,0,0,0,0,1,1,1,1
75152450,0,0,0,0,1,1,1,1
75152452,0,0,0,0,1,1,1,1
75152477,1,0,0,1,0,0,1,1
75152481,0,0,0,0,1,1,1,1
75152484,0,0,0,0,1,1,1,1
75152486,0,0,0,0,1,1,1,1
75152488,1,1,0,1,1,0,0,0
75152490,0,0,0,0,1,1,1,1
75152502,0,0,0,0,1,1,1,1
75152555,0,0,0,0,1,1,1,1
75152569,0,0,0,0,1,1,1,1
75152570,0,0,0,0,1,1,1,1
75152571,0,0,0,0,1,1,1,1
75152575,0,0,0,0,1,1,1,1
75152581,0,0,0,0,1,1,1,1
75152592,0,0,0,0,1,1,1,1
75152643,1,1,0,1,1,0,0,0
75152667,0,0,0,0,1,1,1,1
75152668,0,0,0,0,1,1,1,1
75152682,0,0,0,0,1,1,1,1
75152737,1,1,1,0,1,0,0,0
75152750,0,0,0,0,1,1,1,1
75152753,0,0,0,0,1,1,1,1
75152755,0,0,0,0,1,1,1,1
75152765,0,0,0,0,1,1,1,1
75152845,0,0,0,0,1,1,1,1
75152848,0,0,0,0,1,1,1,1
75152850,0,0,0,0,1,1,1,1
75152852,0,0,0,0,1,1,1,1
75152853,0,0,0,0,1,1,1,1
75152855,0,0,0,0,1,1,1,1
75152856,0,0,0,0,1,1,1,1
75152866,0,0,0,0,1,1,1,1
75152874,0,0,0,0,1,1,1,1
75152875,0,0,0,0,1,1,1,1
75152932,0,0,0,0,1,1,1,1
75152934,0,0,0,0,1,1,1,1
75152936,0,0,0,0,1,1,1,1
75152939,0,0,0,0,1,1,1,1
75152940,0,0,0,0,1,1,1,1
75152942,0,0,0,0,1,1,1,1
75152949,0,0,0,0,1,1,1,1
75152952,0,0,0,0,1,1,1,1
75152965,0,0,0,0,1,1,1,1
75152976,0,0,0,0,1,1,1,1
75153025,0,0,0,0,1,1,1,1
75153028,0,0,0,0,1,1,1,1
75153030,0,0,0,0,1,1,1,1
75153031,0,0,0,0,1,1,1,1
75153036,0,0,0,0,1,1,1,1
75153055,0,0,0,0,1,1,1,1
75153058,0,0,0,0,1,1,1,1
75153127,0,0,0,0,1,1,1,1
75153131,0,0,0,0,1,1,1,1
75153136,0,0,0,0,1,1,1,1
75153141,0,0,0,0,1,1,1,1
75153146,0,0,0,0,1,1,1,1
75153154,0,0,0,0,1,1,1,1
75153155,0,0,0,0,1,1,1,1
75153157,0,0,0,0,1,1,1,1
75153158,1,1,1,0,0,1,0,0
75153161,1,1,0,0,1,1,0,0
75153234,0,0,0,0,1,1,1,1
75153237,0,0,0,0,1,1,1,1
75153242,0,0,0,0,1,1,1,1
75153247,0,0,0,0,1,1,1,1
75153251,0,0,0,0,1,1,1,1
75153253,0,0,0,0,1,1,1,1
75153270,0,0,0,0,1,1,1,1
75153333,1,1,0,0,1,1,0,0
75153334,1,0,0,0,1,0,1,1
75153340,0,0,0,0,1,1,1,1
75153351,0,0,0,0,1,1,1,1
75153353,0,0,0,0,1,1,1,1
75153360,0,0,0,0,1,1,1,1
75153366,0,0,0,0,1,1,1,1
75153374,1,0,0,1,0,0,1,1
75153376,1,0,0,0,1,0,1,1
75153377,0,0,0,0,1,1,1,1
75153417,0,0,0,0,1,1,1,1
75153431,1,1,0,0,1,0,0,1
75153444,0,0,0,0,1,1,1,1
75153446,0,1,0,0,1,0,1,1
75153451,1,1,0,0,1,0,1,0
75153461,0,1,0,0,1,1,1,0
75153466,0,0,0,0,1,1,1,1
75153537,0,0,0,0,1,1,1,1
75153554,0,0,0,0,1,1,1,1
75153559,1,0,1,1,0,1,0,0
75153573,0,0,0,0,1,1,1,1
75153631,1,1,0,1,0,0,0,1
75153639,0,0,0,0,1,1,1,1
75153648,0,0,0,0,1,1,1,1
75153667,0,0,0,0,1,1,1,1
75153670,0,0,0,0,1,1,1,1
75153683,0,0,0,0,1,1,1,1
75153689,0,0,0,0,1,1,1,1
75153694,0,0,0,0,1,1,1,1
75153756,0,0,0,0,1,1,1,1
75153768,0,0,0,0,1,1,1,1
75153770,0,0,0,0,1,1,1,1
75153792,0,0,0,0,1,1,1,1
75153799,1,0,0,1,1,1,0,0
75153924,1,1,0,0,0,0,1,1
75153936,1,1,0,1,0,0,1,0
75154126,0,0,0,0,1,1,1,1
75154127,0,0,0,0,1,1,1,1
75154129,0,0,0,0,1,1,1,1
75154928,1,1,0,0,1,0,1,0
75154944,1,1,0,1,0,0,0,1
75154948,1,1,0,0,1,0,1,0
75155375,0,0,0,0,1,1,1,1
75156618,1,1,1,0,0,0,1,0
75156878,0,0,0,0,1,1,1,1
75157778,0,0,0,1,1,0,1,1
75152119,0,0,0,0,2,1,1,1
75152124,1,1,0,0,1,2,0,0
75152162,0,0,0,0,1,1,1,2
75152281,1,2,1,0,0,0,0,1
75152337,0,0,0,0,2,1,1,1
75152530,0,0,1,1,2,0,1,0
75152620,0,0,0,0,1,2,1,1
75152625,0,0,0,0,2,1,1,1
75152639,0,0,0,0,1,1,2,1
75152665,0,0,0,0,1,2,1,1
75152715,0,0,0,0,1,2,1,1
75152756,1,0,0,0,1,0,1,2
75152851,0,0,0,0,2,1,1,1
75152859,0,1,0,0,1,0,1,2
75152946,0,0,0,0,2,1,1,1
75152950,0,0,0,0,1,1,2,1
75152960,1,1,0,0,1,0,2,0
75153038,1,1,2,0,0,1,0,0
75153062,0,1,1,0,0,1,2,0
75153145,0,0,0,0,2,1,1,1
75153232,0,0,0,0,1,1,2,1
75153240,0,0,0,0,2,1,1,1
75153262,0,0,0,0,2,1,1,1
75153272,0,0,0,0,1,1,1,2
75153300,0,0,0,0,2,1,1,1
75153335,1,0,0,0,2,1,1,0
75153338,0,0,0,0,2,1,1,1
75153346,0,0,0,0,2,1,1,1
75153348,1,1,1,0,0,2,0,0
75153418,0,0,0,0,1,1,2,1
